Name of country,Cases of covid-19 (cumulative total)
Global,68165877
United States of America,14972356
India,9767371
Brazil,6674999
Russian Federation,2541199
France,2269668
Italy,1757394
The United Kingdom,1750245
Spain,1702328
Argentina,1469919
Colombia,1384610
Germany,1218524
Mexico,1193255
Poland,1076180
Iran (Islamic Republic of),1072620
Peru,976621
Turkey,872093
Ukraine,845343
South Africa,821889
Belgium,594572
Indonesia,592900
Iraq,569873
Netherlands,569747
Chile,564778
Czechia,556927
Romania,524675
Bangladesh,484104
Philippines,444164
Canada,429035
Pakistan,426142
Morocco,388184
Saudi Arabia,359274
Switzerland,357121
Israel,347144
Portugal,325071
Austria,305688
Sweden,297732
Hungary,259588
Jordan,250219
Nepal,244433
Serbia,234027
Ecuador,199228
Panama,181166
Kazakhstan,180777
United Arab Emirates,180150
Georgia,174383
Japan,168573
Bulgaria,168165
Croatia,154852
Azerbaijan,154152
Belarus,150602
Dominican Republic,150161
Costa Rica,147430
Bolivia (Plurinational State of),145846
Kuwait,145204
Armenia,144066
Lebanon,140409
Qatar,140353
Guatemala,127127
Oman,125490
Egypt,119702
Slovakia,119232
Republic of Moldova,119204
Greece,118045
"occupied Palestinian territory, including east Jerusalem",117233
Ethiopia,113735
Honduras,112175
Tunisia,106856
Venezuela (Bolivarian Republic of),105384
Myanmar,101739
Bosnia and Herzegovina,96021
Denmark,94799
China,94618
Paraguay,89421
Algeria,89416
Kenya,88579
Libya,88522
Bahrain,88494
Slovenia,87936
Lithuania,80556
Malaysia,76265
Kyrgyzstan,76012
Ireland,74682
Uzbekistan,74352
Nigeria,70195
North Macedonia,69452
Puerto Rico,58962
Singapore,58291
Ghana,52500
Afghanistan,48540
Albania,44436
Kosovo[1],43838
El Salvador,40741
Republic of Korea,40098
Montenegro,39269
Norway,38703
Luxembourg,38476
Sri Lanka,29378
Finland,28242
Australia,27993
Cameroon,24963
Uganda,23200
Latvia,22104
Côte d’Ivoire,21513
Sudan,20084
Zambia,17931
Madagascar,17638
Senegal,16596
Mozambique,16373
Angola,15729
Estonia,15510
French Polynesia,15411
Namibia,15298
Democratic Republic of the Congo,13749
Cyprus,13286
Maldives,13274
Guinea,13264
Tajikistan,12553
Botswana,12058
French Guiana,11600
Jamaica,11369
Zimbabwe,10839
Malta,10699
Cabo Verde,10626
Mauritania,9516
Haiti,9434
Gabon,9278
Cuba,9106
Syrian Arab Republic,8675
Guadeloupe,8451
Réunion,8294
Belize,8013
Uruguay,7806
Bahamas,7580
Andorra,7127
Guam,6902
Trinidad and Tobago,6808
Eswatini,6563
Rwanda,6237
Malawi,6051
Congo,6049
Djibouti,5717
Guyana,5700
Martinique,5553
Iceland,5506
Mali,5442
Suriname,5326
Mayotte,5181
Equatorial Guinea,5166
Aruba,4984
Central African Republic,4927
Nicaragua,4709
Somalia,4579
Thailand,4151
Gambia,3776
Burkina Faso,3469
Curaçao,3246
South Sudan,3181
Togo,3132
Benin,3090
Guinea-Bissau,2444
Sierra Leone,2428
Lesotho,2150
Yemen,2083
Niger,1856
San Marino,1832
New Zealand,1732
Chad,1728
United States Virgin Islands,1698
Liberia,1676
Liechtenstein,1447
Viet Nam,1381
Jersey,1338
Sint Maarten,1155
Gibraltar,1055
Sao Tome and Principe,1005
Mongolia,893
Saint Martin,838
Turks and Caicos Islands,761
Other,744
Burundi,720
Papua New Guinea,684
Eritrea,649
Monaco,648
Comoros,616
Faroe Islands,514
United Republic of Tanzania,509
Mauritius,505
Bhutan,433
Isle of Man,370
Cambodia,356
Bermuda,340
Cayman Islands,291
Barbados,290
Guernsey,288
Saint Lucia,271
Seychelles,182
"Bonaire, Sint Eustatius and Saba",169
Saint Barthélemy,164
Brunei Darussalam,152
Antigua and Barbuda,146
Northern Mariana Islands (Commonwealth of the),113
Saint Vincent and the Grenadines,90
Dominica,85
British Virgin Islands,75
Fiji,44
Grenada,43
Lao People's Democratic Republic,41
New Caledonia,36
Timor-Leste,31
Holy See,26
Saint Kitts and Nevis,25
Greenland,18
Falkland Islands (Malvinas),17
Solomon Islands,17
Saint Pierre and Miquelon,14
Montserrat,13
Anguilla,10
Marshall Islands,4
Wallis and Futuna,3
Vanuatu,1
American Samoa,0
Cook Islands,0
Democratic People's Republic of Korea,0
Kiribati,0
Micronesia (Federated States of),0
Nauru,0
Niue,0
Palau,0
Pitcairn Islands,0
Saint Helena,0
Samoa,0
Tokelau,0
Tonga,0
Turkmenistan,0
Tuvalu,0
