Estado,Casos,Sedentarismo,Sono,Alimentacao,Psicologico
AM,184268,4,99,85,53
MT,163861,8,92,58,10
MA,195958,4,82,57,85
AP,61925,77,78,19,67
PB,151312,80,73,68,30
RJ,378084,11,72,53,84
PE,193530,57,65,36,56
TO,84281,85,62,64,20
PA,277020,4,60,55,16
SE,96346,21,57,53,46
RS,359544,63,54,26,87
MG,448880,37,54,56,88
CE,312068,50,46,48,43
RR,65218,40,43,16,59
SC,411631,86,40,18,91
MS,108549,41,38,91,9
BA,431786,77,30,99,87
AC,37672,63,27,95,6
PR,313880,73,22,11,46
RN,99841,57,20,91,93
GO,288819,50,19,46,26
SP,1306585,72,18,2,63
DF,236322,57,14,78,58
RO,84405,77,13,88,71
AL,97248,15,13,65,15
PI,132718,75,11,59,96
ES,206701,86,2,27,92
